animal,urban,humanDisturbed,UTI,tolerance,invasion.potential,Brain,Body,broodValue,HA,DA
Nothura_darwinii,0,1,NA,NA,NA,NA,NA,NA,NA,NA
Nothura_chacoensis,0,0,NA,NA,NA,NA,NA,NA,NA,NA
Nothura_boraquira,0,1,NA,NA,NA,NA,NA,NA,NA,NA
Nothura_maculosa,0,1,-0.05480379204067365,NA,NA,1.54375,275.2875,NA,NA,NA
Nothura_minor,0,0,NA,NA,NA,NA,NA,NA,NA,NA
Rhynchotus_rufescens,0,1,-0.05685281159278244,NA,NA,3.79,900,NA,NA,NA
Rhynchotus_maculicollis,0,1,NA,NA,NA,NA,NA,NA,NA,NA
Nothoprocta_curvirostris,0,1,NA,NA,NA,NA,NA,NA,NA,NA
Nothoprocta_pentlandii,0,1,NA,NA,NA,NA,NA,NA,NA,NA
Nothoprocta_perdicaria,0,1,-0.10266124770399299,avoider,NA,NA,NA,NA,0.333333333333333,0.35
Nothoprocta_taczanowskii,0,1,NA,NA,NA,NA,NA,NA,NA,NA
Nothoprocta_cinerascens,0,1,NA,NA,NA,NA,NA,NA,NA,NA
Nothoprocta_ornata,0,1,NA,NA,NA,2.85,596.25,NA,NA,NA
Taoniscus_nanus,0,0,NA,NA,NA,NA,NA,NA,NA,NA
Eudromia_formosa,0,0,NA,NA,NA,NA,NA,NA,NA,NA
Eudromia_elegans,0,1,NA,NA,NA,2.58,578.5,NA,NA,NA
Tinamotis_ingoufi,0,1,NA,NA,NA,NA,NA,NA,NA,NA
Tinamotis_pentlandii,0,0,NA,NA,NA,NA,NA,NA,NA,NA
Tinamus_major,0,1,NA,NA,NA,2.1,1225,NA,NA,NA
Tinamus_solitarius,0,0,NA,NA,NA,NA,NA,NA,NA,NA
Tinamus_osgoodi,0,0,NA,NA,NA,NA,NA,NA,NA,NA
Tinamus_guttatus,0,0,NA,NA,NA,NA,NA,NA,NA,NA
Tinamus_tao,0,1,NA,NA,NA,NA,NA,NA,NA,NA
Nothocercus_nigrocapillus,0,0,NA,NA,NA,NA,NA,NA,NA,NA
Nothocercus_bonapartei,0,1,NA,NA,NA,NA,NA,NA,NA,NA
Nothocercus_julius,0,1,NA,NA,NA,NA,NA,NA,NA,NA
Crypturellus_parvirostris,0,1,NA,NA,NA,NA,NA,NA,NA,NA
Crypturellus_cinnamomeus,0,1,NA,NA,NA,NA,NA,NA,NA,NA
Crypturellus_obsoletus,0,1,NA,NA,NA,3.3,482,NA,NA,NA
Crypturellus_tataupa,0,0,NA,NA,NA,1.64,225,NA,NA,NA
Crypturellus_kerriae,0,0,NA,NA,NA,NA,NA,NA,NA,NA
Crypturellus_brevirostris,0,0,NA,NA,NA,NA,NA,NA,NA,NA
Crypturellus_erythropus,0,1,NA,NA,NA,NA,NA,NA,NA,NA
Crypturellus_bartletti,0,0,NA,NA,NA,NA,NA,NA,NA,NA
Crypturellus_berlepschi,0,1,NA,NA,NA,NA,NA,NA,NA,NA
Crypturellus_boucardi,0,1,NA,NA,NA,NA,NA,NA,NA,NA
Crypturellus_transfasciatus,0,0,NA,NA,NA,NA,NA,NA,NA,NA
Crypturellus_soui,0,1,NA,NA,NA,1.54,216.5,NA,NA,NA
Crypturellus_variegatus,0,0,NA,NA,NA,NA,NA,NA,NA,NA
Crypturellus_undulatus,0,1,NA,NA,NA,NA,NA,NA,NA,NA
Crypturellus_noctivagus,0,0,NA,NA,NA,NA,NA,NA,NA,NA
Crypturellus_cinereus,0,1,NA,NA,NA,NA,NA,NA,NA,NA
Crypturellus_atrocapillus,0,1,NA,NA,NA,NA,NA,NA,NA,NA
Crypturellus_strigulosus,0,0,NA,NA,NA,NA,NA,NA,NA,NA
Crypturellus_casiquiare,0,0,NA,NA,NA,NA,NA,NA,NA,NA
Crypturellus_duidae,0,0,NA,NA,NA,NA,NA,NA,NA,NA
Crypturellus_ptaritepui,0,0,NA,NA,NA,NA,NA,NA,NA,NA
Struthio_camelus,0,1,-0.006975613736424968,avoider,0.85,41.06,83500,-1.674401813,0.375,0.32
Rhea_pennata,0,0,NA,NA,NA,NA,NA,NA,NA,NA
Rhea_americana,0,0,NA,NA,NA,19.56,23000,NA,NA,NA
Dromaius_novaehollandiae,0,0,NA,NA,NA,29.92,31160,-1.547774705,NA,NA
Casuarius_unappendiculatus,0,0,NA,NA,NA,NA,NA,NA,NA,NA
Casuarius_bennetti,0,0,NA,NA,NA,NA,NA,NA,NA,NA
Casuarius_casuarius,0,0,NA,NA,NA,37.66,44000,-0.903089987,NA,NA
Apteryx_mantelli,0,1,NA,NA,NA,NA,NA,NA,NA,NA
Apteryx_australis,0,1,NA,NA,NA,11.3,2330,NA,NA,NA
Apteryx_haastii,0,1,NA,NA,NA,NA,NA,NA,NA,NA
Apteryx_owenii,0,0,NA,NA,NA,7.56,1243,NA,NA,NA
Dendrortyx_barbatus,0,1,NA,NA,NA,NA,NA,NA,NA,NA
Dendrortyx_macroura,0,0,NA,NA,NA,NA,NA,NA,NA,NA
Dendrortyx_leucophrys,0,1,NA,NA,NA,NA,NA,NA,NA,NA
Philortyx_fasciatus,0,1,NA,NA,NA,NA,NA,NA,NA,NA
Dactylortyx_thoracicus,0,1,NA,NA,NA,NA,NA,NA,NA,NA
Cyrtonyx_montezumae,0,0,NA,NA,NA,1.4,191,NA,NA,NA
Cyrtonyx_ocellatus,0,0,NA,NA,NA,NA,NA,NA,NA,NA
Odontophorus_guttatus,0,1,NA,NA,NA,NA,NA,NA,NA,NA
Odontophorus_hyperythrus,0,1,NA,NA,NA,NA,NA,NA,NA,NA
Odontophorus_balliviani,0,0,NA,NA,NA,NA,NA,NA,NA,NA
Odontophorus_gujanensis,0,1,NA,NA,NA,NA,NA,NA,NA,NA
Odontophorus_melanotis,0,1,NA,NA,NA,NA,NA,NA,NA,NA
Odontophorus_erythrops,0,0,NA,NA,NA,NA,NA,NA,NA,NA
Odontophorus_columbianus,0,0,NA,NA,NA,NA,NA,NA,NA,NA
Odontophorus_speciosus,0,0,NA,NA,NA,NA,NA,NA,NA,NA
Odontophorus_melanonotus,0,0,NA,NA,NA,NA,NA,NA,NA,NA
Odontophorus_stellatus,0,0,NA,NA,NA,NA,NA,NA,NA,NA
Odontophorus_atrifrons,0,0,NA,NA,NA,NA,NA,NA,NA,NA
Odontophorus_capueira,0,1,NA,NA,NA,NA,NA,NA,NA,NA
Odontophorus_dialeucos,0,0,NA,NA,NA,NA,NA,NA,NA,NA
Odontophorus_leucolaemus,0,1,NA,NA,NA,NA,NA,NA,NA,NA
Odontophorus_strophium,0,0,NA,NA,NA,NA,NA,NA,NA,NA
Rhynchortyx_cinctus,0,0,NA,NA,NA,NA,NA,NA,NA,NA
Oreortyx_pictus,0,1,NA,NA,-1.95,1.725,254,NA,NA,NA
Colinus_cristatus,0,1,NA,NA,NA,NA,NA,NA,NA,NA
Colinus_virginianus,0,1,-0.12177505692592083,avoider,-2.34,1.35,171.5,-0.909266381,0.4,0.21
Colinus_nigrogularis,0,1,NA,NA,NA,NA,NA,NA,NA,NA
Callipepla_californica,0,1,-0.12221763272424901,avoider,0.97,1.25,125.625,-1.037398835,0.4375,0.25
Callipepla_gambelii,0,1,-0.5693375975095314,avoider,0.12,1.33125,174.125,-0.90327848,0.333333333333333,0.29
Callipepla_squamata,0,0,NA,NA,0.19,NA,NA,-0.829303773,NA,NA
Callipepla_douglasii,0,1,NA,NA,NA,NA,NA,NA,NA,NA
Ptilopachus_petrosus,0,1,NA,NA,NA,NA,NA,NA,NA,NA
Xenoperdix_udzungwensis,0,0,NA,NA,NA,NA,NA,NA,NA,NA
Arborophila_charltonii,0,0,NA,NA,NA,NA,NA,NA,NA,NA
Arborophila_orientalis,0,0,NA,NA,NA,NA,NA,NA,NA,NA
Arborophila_sumatrana,0,0,NA,NA,NA,NA,NA,NA,NA,NA
Arborophila_rolli,0,0,NA,NA,NA,NA,NA,NA,NA,NA
Arborophila_chloropus,0,0,NA,NA,NA,NA,NA,NA,NA,NA
Arborophila_campbelli,0,0,NA,NA,NA,NA,NA,NA,NA,NA
Arborophila_ardens,0,0,NA,NA,NA,NA,NA,NA,NA,NA
Arborophila_rubrirostris,0,0,NA,NA,NA,NA,NA,NA,NA,NA
Arborophila_javanica,0,0,NA,NA,NA,NA,NA,NA,NA,NA
Arborophila_rufipectus,0,0,NA,NA,NA,NA,NA,NA,NA,NA
Arborophila_mandellii,0,0,NA,NA,NA,NA,NA,NA,NA,NA
Arborophila_torqueola,0,0,NA,NA,NA,NA,NA,NA,NA,NA
Arborophila_atrogularis,0,1,NA,NA,NA,NA,NA,NA,NA,NA
Arborophila_brunneopectus,0,0,NA,NA,NA,NA,NA,NA,NA,NA
Arborophila_hyperythra,0,0,NA,NA,NA,NA,NA,NA,NA,NA
Arborophila_davidi,0,1,NA,NA,NA,NA,NA,NA,NA,NA
Arborophila_rufogularis,0,0,NA,NA,NA,NA,NA,NA,NA,NA
Arborophila_gingica,0,0,NA,NA,NA,NA,NA,NA,NA,NA
Arborophila_crudigularis,0,0,NA,NA,NA,NA,NA,NA,NA,NA
Arborophila_cambodiana,0,0,NA,NA,NA,NA,NA,NA,NA,NA
Caloperdix_oculeus,0,0,NA,NA,NA,NA,NA,NA,NA,NA
Rollulus_rouloul,0,0,NA,NA,NA,1.92,217,NA,NA,NA
Melanoperdix_niger,0,0,NA,NA,NA,1.98,260,NA,NA,NA
Rheinardia_ocellata,0,0,NA,NA,NA,NA,NA,NA,NA,NA
Argusianus_argus,0,0,NA,NA,NA,5.88,1994,NA,NA,NA
Anurophasis_monorthonyx,0,0,NA,NA,NA,NA,NA,NA,NA,NA
Coturnix_ypsilophora,0,1,NA,"NA",0.3,NA,NA,NA,0.375,0.21
Coturnix_chinensis,0,1,NA,NA,0.24,0.59,24.9,NA,NA,NA
Margaroperdix_madagascariensis,0,1,NA,NA,NA,NA,NA,NA,NA,NA
Coturnix_delegorguei,0,1,NA,NA,NA,NA,NA,NA,NA,NA
Coturnix_coturnix,0,1,-0.0012214759166808697,"NA",-1.11,0.86,67.4,-1.309408307,0.375,0.16
Coturnix_japonica,0,1,NA,NA,-1.85,NA,NA,NA,NA,NA
Coturnix_pectoralis,0,1,NA,"NA",NA,0.94,90.5,NA,0.333333333333333,0.27
Coturnix_coromandelica,0,1,-0.004323971480054478,NA,NA,NA,NA,NA,NA,NA
Alectoris_melanocephala,0,1,NA,NA,NA,NA,NA,NA,NA,NA
Alectoris_barbara,0,1,NA,avoider,-2.74,NA,NA,NA,0.375,0.33
Alectoris_magna,0,0,NA,NA,NA,NA,NA,NA,NA,NA
Alectoris_graeca,0,0,NA,NA,-0.16,2.1,615,NA,NA,NA
Alectoris_philbyi,0,1,NA,NA,NA,NA,NA,NA,NA,NA
Alectoris_chukar,0,0,-0.065550533386822707,NA,0.74,2.475,490.7625,-1.056904851,NA,NA
Alectoris_rufa,0,1,-9.995003330836028e-4,"NA",-1.55,2,483,-0.896250562,0.4,0.29
Francolinus_erckelii,0,0,NA,NA,0.89,NA,NA,NA,NA,NA
Francolinus_camerunensis,0,0,NA,NA,NA,NA,NA,NA,NA,NA
Francolinus_swierstrai,0,0,NA,NA,NA,NA,NA,NA,NA,NA
Francolinus_castaneicollis,0,0,NA,NA,NA,NA,NA,NA,NA,NA
Francolinus_ochropectus,0,1,NA,NA,NA,NA,NA,NA,NA,NA
Francolinus_squamatus,0,1,NA,NA,NA,NA,NA,NA,NA,NA
Francolinus_rufopictus,0,0,NA,NA,NA,NA,NA,NA,NA,NA
Francolinus_icterorhynchus,0,1,NA,NA,NA,NA,NA,NA,NA,NA
Francolinus_jacksoni,0,0,NA,NA,NA,NA,NA,NA,NA,NA
Francolinus_bicalcaratus,0,1,NA,NA,NA,NA,NA,NA,NA,NA
Francolinus_clappertoni,0,1,NA,NA,NA,NA,NA,NA,NA,NA
Francolinus_afer,0,0,NA,NA,NA,NA,NA,NA,NA,NA
Francolinus_leucoscepus,0,1,NA,NA,NA,3.32,245,NA,NA,NA
Francolinus_nobilis,0,0,NA,NA,NA,NA,NA,NA,NA,NA
Francolinus_swainsonii,0,1,-0.009950330853167877,avoider,NA,3.8,605.5,NA,0.375,0.32
Francolinus_harwoodi,0,1,NA,NA,NA,NA,NA,NA,NA,NA
Francolinus_natalensis,0,0,NA,NA,NA,NA,NA,NA,NA,NA
Francolinus_hildebrandti,0,0,NA,NA,NA,NA,NA,NA,NA,NA
Francolinus_adspersus,0,0,NA,NA,NA,NA,NA,NA,NA,NA
Francolinus_capensis,0,1,NA,NA,NA,NA,NA,NA,NA,NA
Francolinus_griseostriatus,0,1,NA,NA,NA,NA,NA,NA,NA,NA
Francolinus_ahantensis,0,1,NA,NA,NA,NA,NA,NA,NA,NA
Francolinus_hartlaubi,0,0,NA,NA,NA,NA,NA,NA,NA,NA
Ammoperdix_heyi,0,0,NA,NA,NA,1.5,181,NA,NA,NA
Ammoperdix_griseogularis,0,0,NA,NA,NA,NA,NA,NA,NA,NA
Perdicula_argoondah,0,0,NA,NA,NA,NA,NA,NA,NA,NA
Perdicula_erythrorhyncha,0,1,NA,NA,NA,NA,NA,NA,NA,NA
Perdicula_asiatica,0,0,NA,NA,NA,NA,NA,NA,NA,NA
Perdicula_manipurensis,0,0,NA,NA,NA,NA,NA,NA,NA,NA
Tetraogallus_caucasicus,0,0,NA,NA,NA,NA,NA,NA,NA,NA
Tetraogallus_tibetanus,0,0,NA,NA,NA,NA,NA,NA,NA,NA
Tetraogallus_himalayensis,0,0,NA,NA,NA,6.2,2428,NA,NA,NA
Tetraogallus_altaicus,0,0,NA,NA,NA,NA,NA,NA,NA,NA
Tetraogallus_caspius,0,0,NA,NA,NA,NA,NA,NA,NA,NA
Polyplectron_napoleonis,0,0,NA,NA,NA,NA,NA,NA,NA,NA
Polyplectron_inopinatum,0,0,NA,NA,NA,NA,NA,NA,NA,NA
Polyplectron_bicalcaratum,0,0,NA,NA,NA,3.1,582.5,NA,NA,NA
Polyplectron_chalcurum,0,0,NA,NA,NA,NA,NA,NA,NA,NA
Polyplectron_germaini,0,0,NA,NA,NA,NA,NA,NA,NA,NA
Polyplectron_katsumatae,0,0,NA,NA,NA,NA,NA,NA,NA,NA
Polyplectron_malacense,0,0,NA,NA,NA,NA,NA,NA,NA,NA
Polyplectron_schleiermacheri,0,0,NA,NA,NA,NA,NA,NA,NA,NA
Haematortyx_sanguiniceps,0,0,NA,NA,NA,NA,NA,NA,NA,NA
Galloperdix_spadicea,0,1,NA,NA,NA,2,369,NA,NA,NA
Galloperdix_bicalcarata,0,0,NA,NA,NA,NA,NA,NA,NA,NA
Galloperdix_lunulata,0,0,NA,NA,NA,NA,NA,NA,NA,NA
Francolinus_schlegelii,0,0,NA,NA,NA,NA,NA,NA,NA,NA
Francolinus_lathami,0,0,NA,NA,NA,NA,NA,NA,NA,NA
Francolinus_albogularis,0,0,NA,NA,NA,NA,NA,NA,NA,NA
Francolinus_coqui,0,1,NA,NA,NA,NA,NA,NA,NA,NA
Francolinus_sephaena,0,0,NA,NA,NA,2.25,400,NA,NA,NA
Francolinus_francolinus,0,1,NA,NA,-0.15,NA,NA,NA,NA,NA
Francolinus_pondicerianus,0,1,-0.08984070399978927,avoider,-0.19,1.7,251,NA,0.375,0.35
Francolinus_gularis,0,1,NA,NA,NA,NA,NA,NA,NA,NA
Francolinus_pintadeanus,0,1,NA,NA,-0.96,NA,NA,NA,NA,NA
Francolinus_pictus,0,1,NA,NA,NA,NA,NA,NA,NA,NA
Gallus_varius,0,1,NA,NA,NA,NA,NA,NA,NA,NA
Gallus_gallus,0,1,-0.05069311431551782,"NA",-2.05,3.16,1749.2,-1.477121255,0.375,0.37
Gallus_lafayetii,0,1,NA,NA,NA,NA,NA,NA,NA,NA
Gallus_sonneratii,0,1,NA,NA,NA,3.33,717,NA,NA,NA
Bambusicola_fytchii,0,0,NA,NA,NA,NA,NA,NA,NA,NA
Bambusicola_thoracicus,0,0,NA,NA,-0.99,1.9,222,NA,NA,NA
Francolinus_finschi,0,0,NA,NA,NA,NA,NA,NA,NA,NA
Francolinus_levaillantoides,0,0,-0.006975613736424968,avoider,NA,2.7,431.75,NA,0.375,0.36
Francolinus_levaillantii,0,0,NA,NA,NA,2.5,432,NA,NA,NA
Francolinus_shelleyi,0,0,NA,NA,NA,NA,NA,NA,NA,NA
Francolinus_africanus,0,0,NA,NA,NA,NA,NA,NA,NA,NA
Francolinus_psilolaemus,0,0,NA,NA,NA,NA,NA,NA,NA,NA
Francolinus_streptophorus,0,1,NA,NA,NA,NA,NA,NA,NA,NA
Afropavo_congensis,0,0,NA,NA,NA,NA,NA,NA,NA,NA
Pavo_muticus,0,1,NA,NA,NA,6.5,2767.5,NA,NA,NA
Pavo_cristatus,0,1,-0.05496155807397418,avoider,-0.79,7.11,4088.6,NA,0.4,0.35
Meleagris_gallopavo,0,1,-0.03873982831593015,"NA",0.53,7.975,4361,-1.289725113,0.444444444444444,0.36
Meleagris_ocellata,0,1,NA,NA,NA,6.05,5525,NA,NA,NA
Dendragapus_canadensis,0,0,NA,NA,NA,2.435,520.84,-1.078678199,NA,NA
Dendragapus_falcipennis,0,0,NA,NA,NA,NA,NA,NA,NA,NA
Tetrao_tetrix,0,1,NA,NA,-1.56,3.94,1082.5,-1.031408464,NA,NA
Tetrao_mlokosiewiczi,0,0,NA,NA,NA,NA,NA,NA,NA,NA
Tetrao_parvirostris,0,0,NA,NA,NA,NA,NA,NA,NA,NA
Tetrao_urogallus,0,0,NA,NA,-1.64,6.36,2950,-1.190056091,NA,NA
Centrocercus_minimus,0,0,NA,NA,NA,NA,NA,NA,NA,NA
Centrocercus_urophasianus,0,0,NA,NA,NA,3.88125,1853.6125,-0.828856648,NA,NA
Tympanuchus_pallidicinctus,0,1,NA,NA,NA,NA,NA,-1.105131502,NA,NA
Tympanuchus_cupido,0,0,NA,NA,-2.37,NA,NA,-1.105131502,NA,NA
Tympanuchus_phasianellus,0,0,NA,NA,-1.72,2.92,847.7766667,-0.84509804,NA,NA
Dendragapus_obscurus,0,0,NA,NA,NA,3.2,1128.2,-1.105273529,NA,NA
Dendragapus_fuliginosus,0,0,NA,NA,NA,NA,NA,NA,NA,NA
Lerwa_lerwa,0,0,NA,NA,NA,NA,NA,NA,NA,NA
Lagopus_muta,0,0,NA,NA,NA,2.5,474.35,-0.706148304,NA,NA
Lagopus_lagopus,0,0,NA,NA,-1.14,2.38125,459.555,-0.902335197,NA,NA
Lagopus_leucura,0,0,NA,NA,NA,NA,NA,-1.130333768,NA,NA
Bonasa_sewerzowi,0,0,NA,NA,NA,NA,NA,NA,NA,NA
Bonasa_bonasia,0,0,NA,NA,NA,2,429,-0.795880017,NA,NA
Bonasa_umbellus,0,0,0.08172672006167536,NA,1.06,2.46,545.83,-1.003604124,NA,NA
Pucrasia_macrolopha,0,0,-0.02826346527285928,NA,NA,3.46,936.25,NA,NA,NA
Rhizothera_longirostris,0,0,NA,NA,NA,NA,NA,NA,NA,NA
Phasianus_colchicus,0,1,NA,"NA",1.11,4,1180,-1.417748402,0.333333333333333,0.36
Crossoptilon_harmani,0,0,NA,NA,NA,NA,NA,NA,NA,NA
Crossoptilon_auritum,0,0,NA,NA,NA,5.9,1785,NA,NA,NA
Crossoptilon_mantchuricum,0,0,NA,NA,NA,NA,NA,NA,NA,NA
Crossoptilon_crossoptilon,0,0,NA,NA,NA,6.09,2137.5,NA,NA,NA
Catreus_wallichi,0,0,NA,NA,NA,NA,NA,NA,NA,NA
Lophura_erythrophthalma,0,0,NA,NA,NA,NA,NA,NA,NA,NA
Lophura_inornata,0,0,NA,NA,NA,NA,NA,NA,NA,NA
Lophura_diardi,0,0,NA,NA,NA,3.9,875,NA,NA,NA
Lophura_ignita,0,0,NA,NA,NA,NA,NA,NA,NA,NA
Lophura_nycthemera,0,0,NA,NA,NA,4.91,1490,NA,NA,NA
Lophura_leucomelanos,0,1,-0.12162748812169832,"NA",-0.87,NA,NA,NA,0.333333333333333,0.36
Lophura_bulweri,0,0,NA,NA,NA,NA,NA,NA,NA,NA
Lophura_hoogerwerfi,0,0,NA,NA,NA,NA,NA,NA,NA,NA
Lophura_swinhoii,0,0,NA,NA,NA,4.4,1100,NA,NA,NA
Lophura_edwardsi,0,0,NA,NA,NA,3.4,1082,NA,NA,NA
Lophura_hatinhensis,0,0,NA,NA,NA,NA,NA,NA,NA,NA
Chrysolophus_amherstiae,0,0,NA,NA,NA,3.9,738.3,-1.352182518,NA,NA
Chrysolophus_pictus,0,0,NA,NA,0.46,3.4,410.8,-1.279578168,NA,NA
Syrmaticus_soemmerringii,0,0,NA,NA,NA,NA,NA,NA,NA,NA
Syrmaticus_humiae,0,0,NA,NA,NA,NA,NA,NA,NA,NA
Syrmaticus_ellioti,0,0,NA,NA,NA,NA,NA,NA,NA,NA
Syrmaticus_mikado,0,0,NA,NA,NA,NA,NA,NA,NA,NA
Syrmaticus_reevesii,0,1,NA,NA,-2.93,4.54,1239,NA,NA,NA
Perdix_hodgsoniae,0,1,NA,NA,NA,NA,NA,NA,NA,NA
Perdix_perdix,0,1,NA,NA,0.2,1.89,392.48,-0.771567211,NA,NA
Perdix_dauurica,0,1,NA,NA,NA,NA,NA,NA,NA,NA
Tetraophasis_szechenyii,0,0,NA,NA,NA,NA,NA,NA,NA,NA
Tetraophasis_obscurus,0,0,NA,NA,NA,NA,NA,NA,NA,NA
Lophophorus_lhuysii,0,0,NA,NA,NA,NA,NA,NA,NA,NA
Lophophorus_impejanus,0,1,NA,NA,NA,6.42,2315,NA,NA,NA
Lophophorus_sclateri,0,0,NA,NA,NA,NA,NA,NA,NA,NA
Tragopan_satyra,0,0,NA,NA,NA,NA,NA,NA,NA,NA
Tragopan_blythii,0,0,NA,NA,NA,NA,NA,NA,NA,NA
Tragopan_temminckii,0,0,NA,NA,NA,4.85,1184,NA,NA,NA
Tragopan_caboti,0,0,NA,NA,NA,NA,NA,NA,NA,NA
Tragopan_melanocephalus,0,0,NA,NA,NA,NA,NA,NA,NA,NA
Ithaginis_cruentus,0,0,NA,NA,NA,3.29,537.5,NA,NA,NA
Francolinus_nahani,0,0,NA,NA,NA,NA,NA,NA,NA,NA
Agelastes_niger,0,1,NA,NA,NA,NA,NA,NA,NA,NA
Agelastes_meleagrides,0,0,NA,NA,NA,NA,NA,NA,NA,NA
Guttera_plumifera,0,1,NA,NA,NA,3,467,NA,NA,NA
Guttera_pucherani,0,1,NA,NA,NA,5.08,1149,NA,NA,NA
Numida_meleagris,0,1,-0.014888612493750397,avoider,-1.19,4.23,1299,-1.287241711,0.428571428571428,0.35
Acryllium_vulturinum,0,0,NA,NA,NA,4.71,1390,NA,NA,NA
Aburria_aburri,0,0,NA,NA,NA,NA,NA,NA,NA,NA
Pipile_cumanensis,0,0,NA,NA,NA,NA,NA,NA,NA,NA
Pipile_pipile,0,1,NA,NA,NA,5.49,1350,NA,NA,NA
Pipile_cujubi,0,0,NA,NA,NA,NA,NA,NA,NA,NA
Pipile_jacutinga,0,0,NA,NA,NA,NA,NA,NA,NA,NA
Penelope_superciliaris,0,0,NA,NA,NA,4.6,850,NA,NA,NA
Penelope_argyrotis,0,1,NA,NA,NA,NA,NA,NA,NA,NA
Penelope_obscura,0,1,NA,NA,NA,NA,NA,NA,NA,NA
Penelope_ochrogaster,0,0,NA,NA,NA,NA,NA,NA,NA,NA
Penelope_ortoni,0,0,NA,NA,NA,NA,NA,NA,NA,NA
Penelope_jacucaca,0,0,NA,NA,NA,NA,NA,NA,NA,NA
Penelope_montagnii,0,1,NA,NA,NA,NA,NA,NA,NA,NA
Penelope_barbata,0,0,NA,NA,NA,NA,NA,NA,NA,NA
Penelope_pileata,0,0,NA,NA,NA,NA,NA,NA,NA,NA
Penelope_purpurascens,0,0,NA,NA,NA,5.95,1962.5,NA,NA,NA
Penelope_marail,0,0,NA,NA,NA,NA,NA,NA,NA,NA
Penelope_perspicax,0,1,NA,NA,NA,NA,NA,NA,NA,NA
Penelope_jacquacu,0,1,NA,NA,NA,NA,NA,NA,NA,NA
Penelope_dabbenei,0,0,NA,NA,NA,NA,NA,NA,NA,NA
Penelope_albipennis,0,0,NA,NA,NA,NA,NA,NA,NA,NA
Chamaepetes_unicolor,0,0,NA,NA,NA,NA,NA,NA,NA,NA
Chamaepetes_goudotii,0,1,NA,NA,NA,NA,NA,NA,NA,NA
Penelopina_nigra,0,0,NA,NA,NA,NA,NA,NA,NA,NA
Crax_rubra,0,1,NA,NA,NA,9.9,4133,NA,NA,NA
Crax_globulosa,0,0,NA,NA,NA,NA,NA,NA,NA,NA
Crax_blumenbachii,0,0,NA,NA,NA,NA,NA,NA,NA,NA
Crax_alector,0,1,NA,NA,NA,7,3400,NA,NA,NA
Crax_fasciolata,0,0,NA,NA,NA,NA,NA,NA,NA,NA
Crax_alberti,0,0,NA,NA,NA,NA,NA,NA,NA,NA
Crax_daubentoni,0,0,NA,NA,NA,NA,NA,NA,NA,NA
Mitu_tomentosum,0,0,NA,NA,NA,NA,NA,NA,NA,NA
Mitu_salvini,0,0,NA,NA,NA,NA,NA,NA,NA,NA
Mitu_tuberosum,0,0,NA,NA,NA,NA,NA,NA,NA,NA
Pauxi_unicornis,0,0,NA,NA,NA,NA,NA,NA,NA,NA
Mitu_mitu,0,0,NA,NA,NA,NA,NA,NA,NA,NA
Pauxi_pauxi,0,0,NA,NA,NA,NA,NA,NA,NA,NA
Nothocrax_urumutum,0,0,NA,NA,NA,NA,NA,NA,NA,NA
Oreophasis_derbianus,0,0,NA,NA,NA,NA,NA,NA,NA,NA
Ortalis_ruficauda,0,1,NA,NA,NA,NA,NA,NA,NA,NA
Ortalis_erythroptera,0,1,NA,NA,NA,NA,NA,NA,NA,NA
Ortalis_garrula,0,1,NA,NA,NA,NA,NA,NA,NA,NA
Ortalis_canicollis,0,1,NA,NA,NA,3.5,590,NA,NA,NA
Ortalis_guttata,0,1,NA,NA,NA,NA,NA,NA,NA,NA
Ortalis_cinereiceps,0,1,NA,NA,NA,NA,NA,NA,NA,NA
Ortalis_poliocephala,0,1,NA,NA,NA,NA,NA,NA,NA,NA
Ortalis_wagleri,0,1,NA,NA,NA,NA,NA,NA,NA,NA
Ortalis_motmot,0,1,NA,NA,NA,NA,NA,NA,NA,NA
Ortalis_superciliaris,0,1,NA,NA,NA,NA,NA,NA,NA,NA
Ortalis_leucogastra,0,1,NA,NA,NA,NA,NA,NA,NA,NA
Ortalis_vetula,0,1,NA,NA,NA,3.35,545.5,-1.194205555,NA,NA
Leipoa_ocellata,0,0,NA,NA,NA,4.1,1335,NA,NA,NA
Aepypodius_bruijnii,0,0,NA,NA,NA,NA,NA,NA,NA,NA
Aepypodius_arfakianus,0,0,NA,NA,NA,NA,NA,NA,NA,NA
Alectura_lathami,1,1,-0.02078253918252848,"NA",NA,5.65,1855.5,NA,0.428571428571428,0.36
Talegalla_cuvieri,0,0,NA,NA,NA,NA,NA,NA,NA,NA
Talegalla_jobiensis,0,0,NA,NA,NA,NA,NA,NA,NA,NA
Talegalla_fuscirostris,0,1,NA,NA,NA,NA,NA,NA,NA,NA
Megapodius_bernsteinii,0,1,NA,NA,NA,NA,NA,NA,NA,NA
Megapodius_cumingii,0,0,NA,NA,NA,NA,NA,NA,NA,NA
Megapodius_tenimberensis,0,0,NA,NA,NA,NA,NA,NA,NA,NA
Megapodius_geelvinkianus,0,0,NA,NA,NA,NA,NA,NA,NA,NA
Megapodius_nicobariensis,0,0,NA,NA,NA,NA,NA,NA,NA,NA
Megapodius_laperouse,0,1,NA,NA,NA,NA,NA,NA,NA,NA
Megapodius_eremita,0,0,NA,NA,NA,3.33,604.8,NA,NA,NA
Megapodius_freycinet,0,0,NA,NA,NA,3.92,847.5,NA,NA,NA
